Song,Artist,Album,Cover Art,Release Year
My Collection!,Autumn!,##B4GC2##B4GC2,https://i.ytimg.com/vi/vgmIiMeE9ZQ/maxresdefault.jpg,2022
Stranger,Jhene Aiko,Sailing Soul(s),https://i.ytimg.com/vi/x9sq06NTSXU/sddefault.jpg,2011
Tweakin' Together,BKTHERULA,Love Santana,https://i.ytimg.com/vi/UqrW0-OUExc/mqdefault.jpg,2020
Draminine,Flawed Mangoes,Dramanine/Fragility,https://i.ytimg.com/vi/9eCz81gJaoA/sddefault.jpg,2024
Event Horizon,Flawed Mangoes,Killswitch Melodies,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8a/8f/0c/8a8f0cfd-2798-c19b-62fa-c01dc9325d07/193436364621_FINAL.jpg/1200x630wp-60.jpg,2023
which one,Destroy Lonely,If Looks Could Kill,https://i.ytimg.com/vi/vm-lFdo4ZV4/maxresdefault.jpg,
SOS,SZA,SOS,https://i.ytimg.com/vi/WxflcXmtVTM/mqdefault.jpg,2022
Could've Been,H.E.R,I Used to Know Her,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/1e/31/73/1e3173e4-a0f0-4b26-5ff9-c2c07d4335a6/886447876732.jpg/1200x1200bb.jpg,2018
Heartbreak Anviversary,Giveon,Heartbreak Aniversary,https://i.ytimg.com/vi/nja_0BaQcNg/maxresdefault.jpg,2021
B.S,Jhene Aiko,Chilombo,https://upload.wikimedia.org/wikipedia/en/1/15/Jhen%C3%A9_Aiko_-_Chilombo.png,2020
